Name,Customer_ID,Address,City,State,ZIP,Avg_Sale_Amount,Store_Number,Responded_to_Last_Catalog,Avg_Num_Products_Purchased,#_Years_as_Customer,Customer_Segment_Loyalty_Club_Only,Customer_Segment_Loyalty_Club_and_Credit_Card,Customer_Segment_Store_Mailing_List
Pamela Wright,2,376 S Jasmine St,Denver,CO,80224,227.9,100,No,1,6,0,0,1
Danell Valdez,7,12066 E Lake Cir,Greenwood Village,CO,80111,55.0,105,Yes,1,6,0,0,1
Jessica Rinehart,8,7225 S Gaylord St,Centennial,CO,80122,212.57,101,No,1,3,0,0,1
Nancy Clark,9,4497 Cornish Way,Denver,CO,80239,195.31,105,Yes,1,6,0,0,1
Andrea Brun,10,2316 E 5th Ave,Denver,CO,80206,110.55,100,Yes,1,2,0,0,1
Denise Pentico,11,3883 Quitman St,Denver,CO,80212,149.01,106,No,1,8,0,0,1
Erna Arustamyan,12,1965 Yukon St,Lakewood,CO,80214,49.37,108,No,1,7,0,0,1
Karen Osborne,16,5400 Sheridan Blvd,Arvada,CO,80002,153.97,103,No,3,1,0,0,1
Shirley Krywonis,17,195 Jade St,Broomfield,CO,80020,173.15,107,No,2,2,0,0,1
Dianne Vangilder,19,22873 E Clifton Pl,Aurora,CO,80016,105.24,102,No,1,6,0,0,1
Mary Kiniry,26,16087 E Lehigh Cir,Aurora,CO,80013,245.16,104,No,4,3,0,0,1
Belinda Deherrera,28,14303 E Napa Pl,Aurora,CO,80014,85.02,102,No,2,1,0,0,1
Keli Scott,31,1653 Iola St,Aurora,CO,80010,14.53,100,Yes,1,1,0,0,1
Cynthia Wyat,36,200 Rampart Way,Denver,CO,80230,190.29,105,No,2,6,0,0,1
Ann Balliett,40,8192 W 81st Dr,Arvada,CO,80005,209.3,103,Yes,1,5,0,0,1
J Ritz,55,3445 S Downing St,Englewood,CO,80113,273.15,101,No,4,6,0,0,1
Jeralyn Braddock,57,10 S Sherman St,Denver,CO,80209,197.43,100,No,1,2,0,0,1
Amy Halter,60,9214 E Floyd Ave,Denver,CO,80231,210.63,105,No,3,1,0,0,1
Heather Conway,65,1007 W 17th Ct,Broomfield,CO,80020,206.31,109,No,1,4,0,0,1
Christine Triantos,70,9200 W 66th Pl,Arvada,CO,80004,206.78,108,No,1,1,0,0,1
Katie Bills,72,4544 Wyandot St,Denver,CO,80211,69.55,107,No,1,1,0,0,1
Judy Lamb,73,3479 S Uravan Way,Aurora,CO,80013,93.72,104,No,1,6,0,0,1
Megan Mcmillin,74,10166 Owens Dr,Broomfield,CO,80021,58.91,103,No,1,7,0,0,1
Lanh Nguyen,75,17794 E Dorado Ave,Centennial,CO,80015,75.67,104,No,1,4,0,0,1
Larie Marriott,76,8645 Grandview Ave,Arvada,CO,80002,139.11,107,Yes,1,2,0,0,1
Joan Shafer,77,23982 E Chenango Pl,Aurora,CO,80016,178.14,102,No,1,6,0,0,1
Alexandra Murcray,78,6310 Oak St,Arvada,CO,80004,117.06,108,No,1,8,0,0,1
Erin Fugleberg,88,10550 E Jewell Ave,Aurora,CO,80012,50.57,105,No,1,5,0,0,1
Raunce Scott,90,2370 Dahlia St,Denver,CO,80207,57.27,100,Yes,1,4,0,0,1
Alberta Graves,98,10861 Otis Cir,Westminster,CO,80020,150.74,109,Yes,1,8,0,0,1
Patricia Crocombe,99,11991 E Kepner Dr,Aurora,CO,80012,196.4,105,No,1,3,0,0,1
J Lupercio,100,2753 S Milwaukee St,Denver,CO,80210,165.11,100,No,1,2,0,0,1
Judith Sedbrook,103,11625 Community Center Dr,Northglenn,CO,80233,174.45,103,No,1,6,0,0,1
Doreen Hansen,104,415 Grape St,Denver,CO,80220,196.79,100,Yes,1,7,0,0,1
Bonnie Gill,105,2456 W 111th Ct,Denver,CO,80234,167.89,109,No,1,2,0,0,1
Kathleen Patsey,106,2226 Glencoe St,Denver,CO,80207,247.0,107,No,1,1,0,0,1
M Pomeroy,108,327 Harlan St,Lakewood,CO,80226,176.48,106,No,1,7,0,0,1
Letricia Candelaria,109,7265 W Center Ave,Lakewood,CO,80226,25.61,100,No,1,5,0,0,1
Maria Delgado,110,2890 W Rowland Pl,Littleton,CO,80120,175.02,100,Yes,1,6,0,0,1
Peggy Locke,111,9483 W Alameda Ave,Lakewood,CO,80226,135.72,106,No,1,2,0,0,1
Maria Gonzalez,112,2175 S Gilpin St,Denver,CO,80210,31.88,101,No,1,1,0,0,1
Karlee Lutzka,113,3395 S Hannibal St,Aurora,CO,80013,16.58,104,No,1,7,0,0,1
Susan Morris,114,2925 Emporia St,Denver,CO,80238,161.66,105,Yes,4,5,0,0,1
Ann Furimsky,116,1395 S Quitman St,Denver,CO,80219,216.06,101,No,1,3,0,0,1
Angela Edington-Molyneux,123,2808 W Bayaud Ave,Denver,CO,80219,163.73,105,No,2,6,0,0,1
Katy Page,125,1520 Clermont St,Denver,CO,80220,212.31,106,No,2,1,0,0,1
Annette Stewart,130,5765 W 5th Ave,Lakewood,CO,80226,173.95,101,Yes,3,7,0,0,1
Stefanie Eden,133,8101 E Mississippi Ave,Denver,CO,80247,243.54,100,No,3,8,0,0,1
Diane Schweigerdt,137,5490 S Jasper Way,Centennial,CO,80015,126.72,104,No,1,8,0,0,1
Valerie Haines,138,1318 S Drexel Way,Lakewood,CO,80232,213.89,106,No,1,6,0,0,1
Nancy Chin,139,1198 S Alcott St,Denver,CO,80219,205.21,106,No,1,3,0,0,1
Chrlsti Janzen,141,555 E 10th Ave,Denver,CO,80203,259.68,105,No,2,8,0,0,1
Laura Napier,142,1036 S Elkhart Way,Aurora,CO,80012,27.08,105,No,1,4,0,0,1
Taulette Bylsma,143,1550 Quince St,Denver,CO,80220,217.01,106,Yes,1,2,0,0,1
Brittany Cox,144,1628 S Locust St,Denver,CO,80224,95.12,100,Yes,1,4,0,0,1
Kiyo Fujimoto,147,8850 W 50th Ave,Arvada,CO,80002,217.05,107,No,1,5,0,0,1
Ginni Fillenberg,148,1885 S Fairfax St,Denver,CO,80222,217.55,100,No,1,1,0,0,1
April Mclean,149,18202 E Nassau Dr,Aurora,CO,80013,244.86,104,No,1,2,0,0,1
Rebecca Shearer,154,5250 E Cherry Creek South Dr,Denver,CO,80246,269.07,100,No,2,7,0,0,1
Janea Spencer,157,7590 Wolff St,Westminster,CO,80030,248.2,103,No,2,4,0,0,1
Lara Depaulo,161,585 Dudley St,Lakewood,CO,80226,157.6,107,No,3,1,0,0,1
Delane Atencio,163,17875 E Berry Dr,Centennial,CO,80015,171.55,105,Yes,2,4,0,0,1
Lindsay Link,167,1311 S Ogden St,Denver,CO,80210,147.9,101,No,3,6,0,0,1
Andrea Lambert,171,5972 S Waco St,Aurora,CO,80016,17.57,100,No,1,6,0,0,1
Tracy Martino,172,1128 S Ventura Cir,Aurora,CO,80017,265.04,105,No,2,5,0,0,1
Esperanza Wardell,175,1285 S Wolff St,Denver,CO,80219,161.32,107,Yes,2,2,0,0,1
Socky Lerner,183,7370 Braun St,Arvada,CO,80005,174.97,108,No,1,1,0,0,1
Julie Sanford,184,11103 Cottontail Ln,Parker,CO,80138,229.08,102,No,1,2,0,0,1
Carmen Martinez,185,2590 Cherry St,Denver,CO,80207,136.52,100,No,1,4,0,0,1
Patricia Long,186,1531 Stout St,Denver,CO,80202,160.13,106,No,1,2,0,0,1
Regina Barton,187,6330 Umber Cir,Arvada,CO,80403,69.21,108,No,1,4,0,0,1
Dethery Miles,188,11166 W 78th Dr,Arvada,CO,80005,237.24,106,No,2,7,0,0,1
I Uwalaka,190,1565 California St,Denver,CO,80202,240.79,103,Yes,1,6,0,0,1
Paula Gibbs,193,17105 E Greenwood Cir,Aurora,CO,80013,85.47,104,No,2,6,0,0,1
Beverly Cordova,195,365 Laurel St,Broomfield,CO,80020,102.31,108,No,2,7,0,0,1
Maggie Parker,196,620 S Alton Way,Denver,CO,80247,132.08,100,No,3,4,0,0,1
Nina Nelan,202,4610 Homestead St,Littleton,CO,80123,183.69,101,No,3,1,0,0,1
Jacqueline Venneberg,205,1699 S Lee St,Lakewood,CO,80232,184.6,101,No,1,3,0,0,1
P Schechter,208,835 S Quebec St,Denver,CO,80247,237.64,100,No,1,5,0,0,1
Mary Cusimano,218,553 E Gill Way,Superior,CO,80027,131.67,109,No,1,1,0,0,1
Terry Owens,220,9818 Hedgeway Ct,Parker,CO,80134,175.82,102,No,2,5,0,0,1
Susan Ogrady,224,14317 E Layton Dr,Aurora,CO,80015,76.47,104,No,1,7,0,0,1
Jennifer Frampton,225,8866 W Custer Pl,Lakewood,CO,80226,194.4,106,No,1,6,0,0,1
Emma Shing,226,7665 E Eastman Ave,Denver,CO,80231,193.08,102,No,1,6,0,0,1
Doris Hackworth,227,6775 W 19th Pl,Lakewood,CO,80214,34.98,106,No,1,7,0,0,1
Denise Owens,228,481 S Kingston Cir,Aurora,CO,80012,220.74,105,No,3,4,0,0,1
Jodie Avery,230,10165 W 25th Ave,Lakewood,CO,80215,169.11,101,Yes,2,4,0,0,1
Allison Foster,233,5841 Pierce St,Arvada,CO,80003,75.51,107,No,2,7,0,0,1
Barbara Roberts,237,1411 S Eliot St,Denver,CO,80219,84.67,100,No,2,5,0,0,1
Wanda Mayberry,238,6377 Iris Way,Arvada,CO,80004,150.8,109,Yes,3,7,0,0,1
